date lat lon z km_lat km_lon
2007-01-01 23.8812430647 120.90835098459999 1.03605362 -1241.5977623369847 -1462.6222467769692
2007-01-02 23.8812430614 120.9083509774 1.0360520899999999 -1241.5977627039283 -1462.6222474324054
2007-01-03 23.8812430519 120.9083509779 1.0360562500000001 -1241.59776376028 -1462.6222473868893
2007-01-04 23.881243047 120.90835098240001 1.03605051 -1241.597764305135 -1462.6222469772401
2007-01-05 23.8812430581 120.90835099290001 1.03604573 -1241.5977630708715 -1462.6222460213935
2007-01-06 23.8812430633 120.90835098100001 1.03604555 -1241.5977624926577 -1462.622247104686
2007-01-07 23.8812430378 120.90835099149999 1.03604856 -1241.5977653281284 -1462.622246148842
2007-01-08 23.8812430389 120.90835099629999 1.0360503799999998 -1241.597765205814 -1462.6222457118836
2007-01-09 23.8812430663 120.90835099809999 1.03604834 -1241.597762159073 -1462.622245548024
2007-01-10 23.8812430722 120.9083509889 1.03605032 -1241.597761503023 -1462.6222463855268
2007-01-11 23.8812430529 120.90835096480001 1.03604997 -1241.597763649085 -1462.6222485794206
2007-01-12 23.8812430529 120.9083509882 1.03604593 -1241.597763649085 -1462.6222464492498
2007-01-13 23.881243068 120.9083509699 1.036049 -1241.5977619700418 -1462.6222481151533
2007-01-14 23.8812430685 120.90835097749999 1.0360506299999999 -1241.5977619144442 -1462.6222474233032
2007-01-15 23.8812430488 120.9083509948 1.03605167 -1241.5977641049844 -1462.6222458484317
2007-01-16 23.8812430623 120.9083509946 1.03605685 -1241.5977626038527 -1462.6222458666387
2007-01-17 23.8812430737 120.90835099309999 1.03605467 -1241.5977613362309 -1462.6222460031893
2007-01-18 23.881243077 120.90835098630001 1.03605557 -1241.5977609692873 -1462.6222466222116
2007-01-19 23.8812430727 120.90835097639999 1.03605017 -1241.5977614474257 -1462.62224752344
2007-01-20 23.8812430583 120.90835098790001 1.03604736 -1241.5977630486325 -1462.6222464765588
2007-01-21 23.8812430637 120.90835099700001 1.0360476799999998 -1241.5977624481798 -1462.6222456481582
2007-01-22 23.8812430705 120.90835099399999 1.03604573 -1241.5977616920545 -1462.6222459212593
2007-01-23 23.8812430755 120.90835100749999 1.03605213 -1241.59776113608 -1462.622244692314
2007-01-24 23.8812430703 120.9083509962 1.03605055 -1241.5977617142935 -1462.6222457209858
2007-01-25 23.8812430555 120.90835099169999 1.03605335 -1241.5977633599782 -1462.6222461306352
2007-01-26 23.8812430504 120.9083509932 1.03605131 -1241.5977639270725 -1462.6222459940846
2007-01-27 23.8812430518 120.9083510099 1.0360557899999998 -1241.5977637713997 -1462.6222444738337
2007-01-28 23.8812430505 120.9083509857 1.03605324 -1241.597763915953 -1462.6222466768324
2007-01-29 23.8812430524 120.90835100480001 1.0360574 -1241.5977637046826 -1462.6222449381012
2007-01-30 23.8812430679 120.9083509992 1.03605476 -1241.597761981161 -1462.6222454478873
2007-01-31 23.8812430428 120.9083509903 1.03605682 -1241.5977647721538 -1462.6222462580808
2007-02-01 23.8812430602 120.908350993 1.0360552399999998 -1241.5977628373623 -1462.6222460122915
2007-02-02 23.8812430541 120.9083510081 1.03605731 -1241.5977635156512 -1462.6222446376935
2007-02-03 23.8812430536 120.9083510197 1.03605853 -1241.5977635712488 -1462.62224358171
2007-02-04 23.8812430316 120.90835101639999 1.03605828 -1241.597766017537 -1462.6222438821205
2007-02-05 23.8812430431 120.9083510241 1.03606136 -1241.5977647387954 -1462.6222431811657
2007-02-06 23.8812430616 120.90835101639999 1.03605458 -1241.5977626816893 -1462.6222438821205
2007-02-07 23.8812430546 120.90835102310001 1.0360490199999999 -1241.5977634600538 -1462.6222432721977
2007-02-08 23.8812430398 120.90835101740001 1.03606001 -1241.5977651057385 -1462.6222437910858
2007-02-09 23.8812430619 120.908351025 1.03605663 -1241.5977626483307 -1462.6222430992357
2007-02-10 23.8812430574 120.90835100059999 1.0360541 -1241.597763148708 -1462.6222453204414
2007-02-11 23.8812430306 120.9083510117 1.03606166 -1241.597766128732 -1462.6222443099741
2007-02-12 23.8812430494 120.9083510188 1.03605873 -1241.5977640382675 -1462.62224366364
2007-02-13 23.8812430517 120.9083510484 1.03605701 -1241.597763782519 -1462.622240969065
2007-02-14 23.881243048 120.90835101530001 1.03604982 -1241.59776419394 -1462.6222439822545
2007-02-15 23.8812430654 120.90835100289999 1.03605864 -1241.5977622591486 -1462.6222451110657
