date lat lon z km_lat km_lon
2007-01-01 24.0494526746 121.28446071069999 3.1632132700000004 -1222.8937071032444 -1428.383857640626
2007-01-02 24.0494526706 121.28446070940001 3.16321565 -1222.8937075480242 -1428.3838577589672
2007-01-03 24.0494526638 121.28446070679999 3.16321496 -1222.8937083041499 -1428.3838579956546
2007-01-04 24.0494526687 121.2844607131 3.16322085 -1222.8937077592948 -1428.3838574221456
2007-01-05 24.0494526664 121.28446073129999 3.16321846 -1222.8937080150429 -1428.3838557653469
2007-01-06 24.0494526808 121.2844607248 3.16321799 -1222.8937064138358 -1428.3838563570603
2007-01-07 24.0494526533 121.2844607291 3.16321794 -1222.8937094716964 -1428.3838559656178
2007-01-08 24.0494526658 121.2844606992 3.1632141799999998 -1222.89370808176 -1428.3838586875047
2007-01-09 24.0494527034 121.2844606882 3.16321794 -1222.8937039008308 -1428.3838596888672
2007-01-10 24.0494526964 121.28446069559999 3.1632148 -1222.8937046791953 -1428.383859015224
2007-01-11 24.0494526736 121.28446068470001 3.16321577 -1222.8937072144395 -1428.3838600074819
2007-01-12 24.0494526696 121.2844606964 3.16321802 -1222.8937076592192 -1428.3838589423963
2007-01-13 24.0494526945 121.28446069660001 3.16321637 -1222.8937048904654 -1428.3838589241896
2007-01-14 24.0494526873 121.284460695 3.16321758 -1222.893705691069 -1428.3838590698422
2007-01-15 24.0494526815 121.2844606962 3.16321524 -1222.8937063359997 -1428.3838589606032
2007-01-16 24.0494526772 121.28446072419999 3.1632125700000002 -1222.8937068141377 -1428.3838564116809
2007-01-17 24.049452683 121.2844607259 3.1632176 -1222.8937061692075 -1428.3838562569233
2007-01-18 24.0494526942 121.2844606939 3.16321622 -1222.893704923824 -1428.383859169979
2007-01-19 24.0494526857 121.28446072509999 3.16321555 -1222.893705868981 -1428.383856329751
2007-01-20 24.0494526763 121.2844607221 3.1632125700000002 -1222.8937069142132 -1428.3838566028498
2007-01-21 24.0494526921 121.28446070090001 3.1632217799999998 -1222.8937051573332 -1428.3838585327471
2007-01-22 24.0494526886 121.28446071510001 3.16321822 -1222.8937055465158 -1428.3838572400791
2007-01-23 24.0494526787 121.2844607438 3.16322036 -1222.8937066473454 -1428.3838546274337
2007-01-24 24.0494526913 121.28446072610001 3.16321567 -1222.8937052462893 -1428.3838562387166
2007-01-25 24.0494526681 121.2844607241 3.16321624 -1222.8937078260117 -1428.383856420783
2007-01-26 24.0494526619 121.2844607182 3.16321493 -1222.8937085154205 -1428.3838569578782
2007-01-27 24.0494526833 121.28446073379999 3.16321073 -1222.8937061358488 -1428.3838555377642
2007-01-28 24.049452643 121.2844607284 3.16321578 -1222.8937106170044 -1428.3838560293407
2007-01-29 24.0494526714 121.2844607262 3.1632168299999996 -1222.8937074590683 -1428.3838562296144
2007-01-30 24.0494526944 121.284460707 3.16321785 -1222.8937049015851 -1428.3838579774476
2007-01-31 24.0494526661 121.2844607218 3.16321688 -1222.8937080484015 -1428.3838566301588
2007-02-01 24.0494526792 121.28446072290001 3.16321817 -1222.8937065917478 -1428.383856530022
2007-02-02 24.0494526773 121.2844607378 3.16321583 -1222.8937068030184 -1428.383855173631
2007-02-03 24.0494526816 121.2844607367 3.16321832 -1222.8937063248804 -1428.3838552737677
2007-02-04 24.0494526487 121.28446074870001 3.16322377 -1222.893709983193 -1428.3838541813707
2007-02-05 24.04945267 121.2844607365 3.16322247 -1222.8937076147413 -1428.3838552919747
2007-02-06 24.0494526869 121.28446071939999 3.16321856 -1222.893705735547 -1428.3838568486392
2007-02-07 24.0494526757 121.2844607513 3.1632194399999998 -1222.8937069809303 -1428.3838539446858
2007-02-08 24.0494526567 121.28446075330001 3.16322496 -1222.8937090936336 -1428.3838537626193
2007-02-09 24.0494526777 121.2844607525 3.16321895 -1222.8937067585405 -1428.3838538354469
2007-02-10 24.0494526795 121.28446071900001 3.1632190700000002 -1222.8937065583896 -1428.3838568850506
2007-02-11 24.0494526695 121.2844607378 3.1632214199999997 -1222.893707670339 -1428.383855173631
2007-02-12 24.0494526634 121.2844607518 3.16321887 -1222.8937083486278 -1428.38385389917
2007-02-13 24.0494526782 121.2844607513 3.1632199599999997 -1222.8937067029428 -1428.3838539446858
2007-02-14 24.0494526723 121.28446074780001 3.16322228 -1222.893707358993 -1428.3838542633005
2007-02-15 24.0494526689 121.2844607529 3.16322719 -1222.8937077370558 -1428.383853799033
2007-02-16 24.0494526744 121.28446074870001 3.16322212 -1222.8937071254834 -1428.3838541813707
2007-02-17 24.0494526643 121.28446075439999 3.16322309 -1222.8937082485525 -1428.383853662485
2007-02-18 24.0494526765 121.28446071990001 3.16322352 -1222.8937068919743 -1428.3838568031208
2007-02-19 24.0494526873 121.28446074280001 3.1632287000000003 -1222.893705691069 -1428.3838547184657
