date lat lon z km_lat km_lon
2009-01-01 25.6274926941 122.0794350868 0.12423735999999999 -1047.4236628927642 -1356.0149712399136
2009-01-02 25.6274926868 122.0794350754 0.12423645 -1047.4236637044871 -1356.01497227769
2009-01-03 25.6274926951 122.07943506679999 0.1242338 -1047.4236627815692 -1356.0149730605747
2009-01-04 25.6274927023 122.07943508339997 0.12423584 -1047.4236619809658 -1356.0149715494288
2009-01-05 25.6274926863 122.07943505829996 0.12423266 -1047.4236637600848 -1356.014973834357
2009-01-06 25.6274927053 122.0794350777 0.12422355 -1047.4236616473809 -1356.0149720683144
2009-01-07 25.6274926802 122.0794350676 0.12422843 -1047.4236644383736 -1356.014972987747
2009-01-09 25.6274926845 122.07943507430002 0.12423493000000001 -1047.4236639602352 -1356.0149723778243
2009-01-10 25.6274927081 122.0794350557 0.12423221 -1047.4236613360351 -1356.0149740710394
2009-01-11 25.6274927152 122.07943507790003 0.12423663 -1047.4236605465512 -1356.0149720501047
2009-01-12 25.6274927097 122.07943506369998 0.12423073 -1047.4236611581232 -1356.0149733427781
2009-01-13 25.6274927007 122.07943508610003 0.12423035 -1047.4236621588777 -1356.014971303634
2009-01-14 25.6274926885 122.07943505280002 0.12423856999999999 -1047.423663515456 -1356.0149743350332
2009-01-15 25.6274926947 122.0794350498 0.12424189 -1047.4236628260473 -1356.0149746081345
2009-01-16 25.6274927006 122.0794350589 0.12423702 -1047.423662169997 -1356.0149737797337
2009-01-17 25.6274926869 122.07943507740003 0.12423361 -1047.4236636933676 -1356.0149720956208
2009-01-18 25.6274926923 122.07943504870002 0.12422969 -1047.4236630929151 -1356.0149747082687
2009-01-19 25.6274927014 122.07943508339997 0.12424207 -1047.423662081041 -1356.0149715494288
2009-01-20 25.6274926773 122.07943506180004 0.12424104 -1047.4236647608388 -1356.0149735157347
2009-01-21 25.6274926834 122.07943507829998 0.12423708 -1047.4236640825497 -1356.014972013696
2009-01-22 25.6274927103 122.07943508080001 0.12424189 -1047.4236610914063 -1356.014971786111
2009-01-23 25.627492692 122.0794350768 0.12423805 -1047.4236631262734 -1356.0149721502441
