date lat lon z km_lat km_lon
2007-01-01 23.7546550648 121.23275372289999 2.9703174100000003 -1255.6737056999468 -1433.0908988217254
2007-01-02 23.7546550674 121.23275372360001 2.97031695 -1255.6737054108398 -1433.0908987579999
2007-01-03 23.7546550592 121.23275372030002 2.97031532 -1255.6737063226383 -1433.0908990584076
2007-01-04 23.7546550723 121.2327537255 2.97030917 -1255.673704865985 -1433.090898585038
2007-01-05 23.7546550602 121.23275374089997 2.9703101299999997 -1255.6737062114435 -1433.0908971831336
2007-01-06 23.7546550813 121.23275374039997 2.9703062399999998 -1255.6737038652304 -1433.0908972286495
2007-01-07 23.7546550404 121.2327537351 2.97031101 -1255.6737084131032 -1433.0908977111212
2007-01-08 23.7546550396 121.2327537237 2.9703138399999998 -1255.673708502059 -1433.0908987488976
2007-01-09 23.754655062 121.23275371930004 2.9703147199999997 -1255.6737060112926 -1433.0908991494396
2007-01-10 23.7546550666 121.2327537187 2.97031544 -1255.673705499796 -1433.090899204063
2007-01-11 23.7546550501 121.23275370390002 2.9703157 -1255.6737073345125 -1433.0909005513493
2007-01-12 23.7546550435 121.23275371329999 2.97031432 -1255.6737080683986 -1433.090899695642
2007-01-13 23.7546550661 121.23275371630001 2.9703152100000003 -1255.6737055553936 -1433.0908994225408
2007-01-14 23.7546550577 121.2327537127 2.9703197 -1255.673706489431 -1433.0908997502602
2007-01-15 23.7546550486 121.2327537265 2.97031845 -1255.6737075013048 -1433.0908984940058
2007-01-16 23.7546550636 121.2327537328 2.97031297 -1255.6737058333806 -1433.090897920497
2007-01-17 23.7546550686 121.2327537539 2.9703158199999997 -1255.673705277406 -1433.0908959997018
2007-01-18 23.754655054 121.23275370459999 2.97031875 -1255.673706900852 -1433.090900487629
2007-01-19 23.7546550715 121.23275372900002 2.97031086 -1255.6737049549408 -1433.0908982664207
2007-01-20 23.7546550639 121.2327537338 2.9703109100000002 -1255.6737058000224 -1433.090897829465
2007-01-21 23.7546550826 121.23275373839999 2.9703118 -1255.6737037206772 -1433.0908974107135
2007-01-22 23.7546550723 121.23275375419996 2.9703112099999998 -1255.673704865985 -1433.0908959723952
2007-01-23 23.7546550779 121.232753779 2.97031406 -1255.6737042432933 -1433.0908937147733
2007-01-24 23.7546550738 121.23275375829996 2.97031255 -1255.6737046991927 -1433.09089559916
2007-01-25 23.7546550573 121.23275373670003 2.97031459 -1255.673706533909 -1433.0908975654659
2007-01-26 23.7546550384 121.23275374549996 2.97031381 -1255.673708635493 -1433.090896764382
2007-01-27 23.7546550648 121.2327537548 2.97030771 -1255.6737056999468 -1433.0908959177718
2007-01-28 23.7546550347 121.23275373080003 2.97031408 -1255.6737090469142 -1433.0908981025611
2007-01-29 23.7546550388 121.2327537379 2.9703167699999997 -1255.6737085910152 -1433.0908974562296
2007-01-30 23.7546550626 121.23275372980004 2.97031665 -1255.6737059445757 -1433.0908981935931
2007-01-31 23.7546550347 121.23275373160004 2.97031893 -1255.6737090469142 -1433.0908980297334
2007-02-01 23.7546550617 121.23275373690001 2.9703193700000003 -1255.6737060446512 -1433.0908975472616
2007-02-02 23.7546550417 121.23275374640002 2.97031722 -1255.6737082685495 -1433.090896682447
2007-02-03 23.7546550482 121.2327537525 2.97031815 -1255.6737075457827 -1433.0908961271475
2007-02-04 23.7546550369 121.23275376610002 2.9703216699999997 -1255.6737088022853 -1433.0908948890976
2007-02-05 23.7546550345 121.2327537695 2.97031698 -1255.6737090691531 -1433.0908945795877
2007-02-06 23.7546550577 121.23275376460003 2.97031473 -1255.673706489431 -1433.0908950256458
2007-02-07 23.7546550767 121.23275378459999 2.97030754 -1255.673704376727 -1433.09089320499
2007-02-08 23.7546550541 121.23275378389997 2.97031807 -1255.6737068897328 -1433.0908932687155
2007-02-09 23.7546550812 121.23275375470001 2.97031299 -1255.6737038763501 -1433.090895926874
2007-02-10 23.7546550724 121.23275374280001 2.97031301 -1255.6737048548657 -1433.0908970101664
2007-02-11 23.7546550517 121.23275376610002 2.97031876 -1255.6737071566006 -1433.0908948890976
2007-02-12 23.7546550406 121.23275376790002 2.9703181 -1255.6737083908642 -1433.090894725238
2007-02-13 23.7546550619 121.23275376870004 2.9703189699999997 -1255.6737060224123 -1433.0908946524103
2007-02-14 23.7546550791 121.23275377200002 2.97031584 -1255.6737041098593 -1433.0908943520026
2007-02-15 23.7546550848 121.23275377159996 2.97031363 -1255.6737034760483 -1433.0908943884217
2007-02-16 23.7546550685 121.23275377740003 2.97032656 -1255.6737052885258 -1433.0908938604234
2007-02-17 23.7546550703 121.23275375419996 2.97032283 -1255.6737050883748 -1433.0908959723952
2007-02-18 23.7546550872 121.2327536958 2.97031716 -1255.6737032091805 -1433.0909012887178
2007-02-19 23.7546550897 121.23275376419997 2.9703123000000002 -1255.673702931193 -1433.0908950620646
2007-02-20 23.7546550987 121.23275375510002 2.97031768 -1255.673701930439 -1433.0908958904602
2007-02-21 23.7546550769 121.23275376319998 2.97031315 -1255.673704354488 -1433.0908951530967
2007-02-22 23.7546550459 121.23275376970003 2.97031298 -1255.6737078015308 -1433.0908945613783
2007-02-23 23.7546550427 121.23275375909998 2.97031466 -1255.6737081573547 -1433.0908955263321
2007-02-24 23.7546550596 121.23275374560001 2.97031264 -1255.6737062781604 -1433.0908967552748
2007-02-25 23.7546550509 121.2327537553 2.97031259 -1255.6737072455564 -1433.090895872256
2007-02-26 23.7546550371 121.23275375719999 2.9703129600000002 -1255.6737087800464 -1433.0908956992942
2007-02-27 23.7546550558 121.23275375629999 2.9703186300000004 -1255.6737067007011 -1433.090895781224
2007-02-28 23.7546550504 121.23275374870002 2.97031762 -1255.6737073011539 -1433.0908964730713
2007-03-01 23.7546550518 121.2327537516 2.9703159799999996 -1255.6737071454809 -1433.0908962090775
2007-03-02 23.7546550413 121.23275374159999 2.97031434 -1255.6737083130274 -1433.090897119408
2007-03-03 23.7546550429 121.23275375050002 2.97031809 -1255.6737081351157 -1433.0908963092118
2007-03-04 23.7546550738 121.23275377819999 2.97031226 -1255.6737046991927 -1433.090893787601
2007-03-05 23.7546550548 121.2327537818 2.9703139700000003 -1255.6737068118962 -1433.0908934598815
2007-03-06 23.754655081 121.23275373640001 2.97031174 -1255.673703898589 -1433.0908975927775
2007-03-07 23.7546550575 121.23275373499996 2.97031161 -1255.67370651167 -1433.0908977202287
2007-03-08 23.7546550752 121.2327537461 2.97030935 -1255.6737045435198 -1433.0908967097587
2007-03-09 23.7546550702 121.2327537873 2.97031115 -1255.6737050994946 -1433.0908929592003
2007-03-10 23.7546550679 121.2327537877 2.97030792 -1255.6737053552426 -1433.0908929227865
2007-03-11 23.7546550779 121.2327537941 2.97031038 -1255.6737042432933 -1433.0908923401753
2007-03-12 23.7546550734 121.2327537699 2.9703074700000003 -1255.6737047436707 -1433.090894543174
2007-03-13 23.7546550637 121.232753747 2.97031665 -1255.6737058222614 -1433.090896627829
2007-03-14 23.7546550823 121.23275375590003 2.97031711 -1255.6737037540356 -1433.0908958176326
2007-03-15 23.7546550965 121.23275377319999 2.970316 -1255.6737021750678 -1433.0908942427664
2007-03-16 23.7546550936 121.23275377409999 2.97031446 -1255.673702497533 -1433.0908941608363
2007-03-17 23.7546550727 121.23275376679999 2.97030869 -1255.6737048215068 -1433.0908948253773
2007-03-18 23.7546550984 121.23275376699996 2.97031482 -1255.6737019637974 -1433.090894807173
2007-03-19 23.7546550856 121.23275374820003 2.97030898 -1255.6737033870925 -1433.0908965185874
2007-03-20 23.7546550787 121.23275374529999 2.9703132099999996 -1255.6737041543372 -1433.0908967825865
2007-03-21 23.754655051 121.23275374809998 2.9703131 -1255.6737072344367 -1433.0908965276947
2007-03-22 23.7546550461 121.23275376599997 2.97031526 -1255.6737077792918 -1433.090894898205
2007-03-23 23.7546550607 121.23275374670004 2.9703144900000003 -1255.673706155846 -1433.0908966551353
2007-03-24 23.7546550834 121.2327537676 2.9703158199999997 -1255.6737036317213 -1433.0908947525497
2007-03-25 23.7546550714 121.2327538006 2.9703176 -1255.6737049660605 -1433.0908917484621
2007-03-26 23.7546550952 121.23275382730003 2.9703188700000003 -1255.673702319621 -1433.0908893178782
2007-03-27 23.7546551023 121.23275383600003 2.97030987 -1255.6737015301371 -1433.0908885258914
2007-03-28 23.754655105 121.2327538069 2.97032307 -1255.6737012299106 -1433.0908911749532
2007-03-29 23.7546550752 121.23275377710002 2.97032347 -1255.6737045435198 -1433.090893887735
2007-03-30 23.7546550844 121.2327537663 2.9703166299999997 -1255.6737035205265 -1433.0908948708934
2007-03-31 23.7546550859 121.23275376959998 2.9703171900000003 -1255.6737033537338 -1433.0908945704857
2007-04-01 23.7546550936 121.23275377120001 2.9703223 -1255.673702497533 -1433.0908944248304
2007-04-02 23.7546551168 121.23275378979997 2.97031646 -1255.6736999178108 -1433.0908927316202
2007-04-03 23.7546550825 121.23275380780001 2.9703070200000004 -1255.6737037317966 -1433.0908910930232
2007-04-04 23.7546550621 121.2327537937 2.97031149 -1255.6737060001733 -1433.0908923765892
2007-04-05 23.7546550695 121.23275378840003 2.97031176 -1255.6737051773307 -1433.090892859061
2007-04-06 23.7546550966 121.23275378070002 2.97031467 -1255.673702163948 -1433.0908935600157
2007-04-07 23.7546550795 121.23275380220002 2.97031043 -1255.6737040653813 -1433.0908916028068
2007-04-08 23.7546550682 121.23275377389996 2.97031571 -1255.673705321884 -1433.0908941790458
2007-04-09 23.7546550599 121.23275381630003 2.97031 -1255.6737062448021 -1433.0908903192408
2007-04-10 23.7546550705 121.232753806 2.97030337 -1255.6737050661359 -1433.090891256883
2007-04-11 23.7546550414 121.23275378979997 2.97031094 -1255.6737083019082 -1433.0908927316202
